,mean,std,min,max,count,first_valid
pct_above_200,0.593,0.2346,0.0041,0.9915,5129.0,2006-01-02
pct_leading,0.286,0.2385,0.0,1.0,5110.0,2006-01-31
net_highs,0.0228,0.0527,-0.2925,0.2488,5129.0,2006-01-02
breadth_dd,-0.3055,0.2517,-0.9957,0.0,4930.0,2006-10-18
divergence,0.2257,0.1831,-0.3491,0.7117,4930.0,2006-10-18
dispersion,0.1185,0.0272,0.0652,0.3298,5129.0,2006-01-02
correlation,0.2597,0.0955,0.0801,0.5595,5129.0,2006-01-02
vol21,0.1724,0.1045,0.0443,0.825,5129.0,2006-01-02
vol_ratio,1.1118,0.5661,0.3412,6.6323,5077.0,2006-03-21
trend_quality,0.6226,0.2257,0.0321,0.9892,5129.0,2006-01-02
part_skew,0.2687,1.3438,-5.0,5.0,5129.0,2006-01-02
