config,cagr_pct,sharpe,max_dd_pct,calmar,ulcer,pct_days_dd_gt_20,pct_12m_neg,worst_12m,median_12m,stop_exits,n_exits,bear18_cagr,bear18_dd,covid_cagr,covid_dd
N100_MA | none | stop:always20,29.61,1.6,-34.78,0.85,10.44,8.0,21.6,-19.1,17.5,298,872,-3.23,-24.35,39.26,-34.78
N100_MA | none | stop:off,32.5,1.69,-35.93,0.9,9.35,4.1,18.5,-19.9,18.8,0,675,-1.71,-23.27,81.07,-35.93
N100_MA | none | stop:riskoff20,30.14,1.62,-34.82,0.87,10.42,8.0,20.6,-19.4,18.6,224,816,-3.11,-24.41,48.43,-34.82
N100_MA | roc31@75 | stop:always20,26.97,1.77,-21.94,1.23,8.78,1.1,21.4,-14.4,16.6,259,730,-4.3,-21.46,31.21,-21.94
N100_MA | roc31@75 | stop:off,30.73,1.96,-25.7,1.2,7.59,0.3,16.9,-11.9,19.1,0,580,-1.66,-17.89,58.44,-25.7
N100_MA | roc31@75 | stop:riskoff20,27.61,1.82,-21.99,1.26,8.79,1.1,21.2,-14.1,17.7,190,675,-4.32,-21.51,35.15,-21.99
N500_ROC31 | none | stop:always20,31.32,1.7,-34.95,0.9,9.63,4.4,19.0,-18.6,18.2,285,964,-1.64,-22.45,36.21,-34.95
N500_ROC31 | none | stop:off,33.85,1.76,-35.84,0.94,8.82,2.6,15.6,-20.3,19.1,0,758,-1.0,-21.09,79.09,-35.84
N500_ROC31 | none | stop:riskoff20,31.08,1.67,-35.02,0.89,9.73,5.1,18.4,-19.1,18.4,219,907,-1.94,-22.72,46.12,-35.02
N500_ROC31 | roc31@75 | stop:always20,28.29,1.85,-21.31,1.33,8.66,1.0,21.8,-13.6,18.1,249,747,-4.17,-21.0,35.67,-21.31
N500_ROC31 | roc31@75 | stop:off,31.54,1.97,-25.09,1.26,7.75,0.3,17.4,-12.3,19.8,0,590,-2.2,-19.05,60.99,-25.09
N500_ROC31 | roc31@75 | stop:riskoff20,28.43,1.85,-21.38,1.33,8.67,0.9,21.4,-13.9,19.0,185,688,-3.95,-21.1,36.73,-21.38
