Constituents list of S&P CNX 500,,,,

Company Name,Industry,Symbol,Series,ISIN Code

Carborundum Universal Ltd.,ABRASIVES,CARBORUNIV,EQ,INE120A01026
Blue Star Ltd.,AIRCONDITIONERS,BLUESTARCO,EQ,INE472A01039
Voltas Ltd.,AIRCONDITIONERS,VOLTAS,EQ,INE226A01021
Hindalco Industries Ltd.,ALUMINIUM,HINDALC0,EQ,INE038A01020
National Aluminium Co. Ltd.,ALUMINIUM,NATIONALUM,EQ,INE139A01026
Amara Raja Batteries Ltd.,AUTO ANCILLARIES,AMARAJABAT,EQ,INE885A01016
Amtek Auto Ltd.,AUTO ANCILLARIES,AMTEKAUTO,EQ,INE130C01021
Asahi India Glass Ltd.,AUTO ANCILLARIES,ASAHIINDIA,EQ,INE439A01020
Automotive Axles Ltd.,AUTO ANCILLARIES,AUTOAXLES,EQ,INE449A01011
Bosch Chassis Systems India Ltd.,AUTO ANCILLARIES,BOSCHCHASY,EQ,INE053B01019
Elgitread (India) Ltd.,AUTO ANCILLARIES,ELGITYRE,EQ,INE257B01024
Exide Industries Ltd.,AUTO ANCILLARIES,EXIDEIND,EQ,INE302A01020
Federal-Mogul Goetze (India) Ltd.,AUTO ANCILLARIES,FMGOETZE,EQ,INE529A01010
India Nippon Electricals Ltd.,AUTO ANCILLARIES,INDNIPPON,EQ,INE092B01017
Lumax Industries Ltd.,AUTO ANCILLARIES,LUMAXIND,EQ,INE162B01018
Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,MOTHERSUMI,EQ,INE775A01035
Motor Industries Co. Ltd.,AUTO ANCILLARIES,MICO,EQ,INE323A01026
Munjal Showa Ltd.,AUTO ANCILLARIES,MUNJALSHOW,EQ,INE577A01027
Omax Autos Ltd.,AUTO ANCILLARIES,OMAXAUTO,EQ,INE090B01011
Pricol Ltd.,AUTO ANCILLARIES,PRICOL,EQ,INE605A01026
Rane Brake Linings Ltd.,AUTO ANCILLARIES,RANEBRAKE,EQ,INE413A01017
Rane Engine Valves Ltd.,AUTO ANCILLARIES,REVL,EQ,INE385A01017
Rico Auto Industries Ltd.,AUTO ANCILLARIES,RICOAUTO,EQ,INE209B01025
Shanthi Gears Ltd.,AUTO ANCILLARIES,SHANTIGEAR,EQ,INE631A01022
Sona Koyo Steering Systems Ltd.,AUTO ANCILLARIES,SONASTEER,EQ,INE643A01027
Sundaram Brake Linings Ltd.,AUTO ANCILLARIES,SUNDRMBRAK,EQ,INE073D01013
Sundaram-Clayton Ltd.,AUTO ANCILLARIES,SUNDRMCLAY,EQ,INE105A01019
UCAL Fuel Systems Ltd.,AUTO ANCILLARIES,UCALFUEL,EQ,INE139B01016
Wheels India Ltd.,AUTO ANCILLARIES,WHEELS,EQ,INE715A01015
Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,BAJAJAUTO,EQ,INE118A01012
Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,HEROHONDA,EQ,INE158A01026
Maharashtra Scooters Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,MAHSCOOTER,EQ,INE288A01013
TVS Motor Company Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,TVSMOTOR,EQ,INE494B01023
Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,ASHOKLEY,EQ,INE208A01029
Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,EICHERMOT,EQ,INE066A01013
Escorts Ltd.,AUTOMOBILES - 4 WHEELERS,ESCORTS,EQ,INE042A01014
Hindustan Motors Ltd.,AUTOMOBILES - 4 WHEELERS,HINDMOTOR,EQ,INE253A01017
HMT Ltd.,AUTOMOBILES - 4 WHEELERS,HMT,EQ,INE262A01018
Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,M&M,EQ,INE101A01018
Maruti Udyog Ltd.,AUTOMOBILES - 4 WHEELERS,MARUTI,EQ,INE585B01010
Punjab Tractors Ltd.,AUTOMOBILES - 4 WHEELERS,PUNJABTRAC,EQ,INE170A01013
Swaraj Mazda Ltd.,AUTOMOBILES - 4 WHEELERS,SWARAJMAZD,EQ,INE294B01019
Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,TATAMOTORS,EQ,INE155A01014
Allahabad Bank,BANKS,ALBK,EQ,INE428A01015
Andhra Bank,BANKS,ANDHRABANK,EQ,INE434A01013
Bank of Baroda,BANKS,BANKBARODA,EQ,INE028A01013
Bank of India,BANKS,BANKINDIA,EQ,INE084A01016
Canara Bank,BANKS,CANBK,EQ,INE476A01014
City Union Bank Ltd.,BANKS,CUB,EQ,INE491A01013
Corporation Bank,BANKS,CORPBANK,EQ,INE112A01015
Dena Bank,BANKS,DENABANK,EQ,INE077A01010
Federal Bank Ltd.,BANKS,FEDERALBNK,EQ,INE171A01011
HDFC Bank Ltd.,BANKS,HDFCBANK,EQ,INE040A01018
ICICI Bank Ltd.,BANKS,ICICIBANK,EQ,INE090A01013
Indian Overseas Bank ,BANKS,IOB,EQ,INE565A01014
IndusInd Bank Ltd.,BANKS,INDUSINDBK,EQ,INE095A01012
ING Vysya Bank Ltd.,BANKS,INGVYSYABK,EQ,INE166A01011
Jammu & Kashmir Bank Ltd.,BANKS,J&KBANK,EQ,INE168A01017
Karnataka Bank Ltd.,BANKS,KTKBANK,EQ,INE614B01018
Karur Vysya Bank Ltd.,BANKS,KARURVYSYA,EQ,INE036D01010
Kotak Mahindra Bank Ltd.,BANKS,KOTAKBANK,EQ,INE237A01010
Lakshmi Vilas Bank Ltd.,BANKS,LAKSHVILAS,EQ,INE694C01018
Oriental Bank of Commerce,BANKS,ORIENTBANK,EQ,INE141A01014
Punjab National Bank,BANKS,PNB,EQ,INE160A01014
South Indian Bank Ltd.,BANKS,SOUTHBANK,EQ,INE683A01015
State Bank of India,BANKS,SBIN,EQ,INE062A01012
Syndicate Bank,BANKS,SYNDIBANK,EQ,INE667A01018
UCO Bank,BANKS,UCOBANK,EQ,INE691A01018
Union Bank of India,BANKS,UNIONBANK,EQ,INE692A01016
UTI Bank Ltd.,BANKS,UTIBANK,EQ,INE238A01026
Vijaya Bank,BANKS,VIJAYABANK,EQ,INE705A01016
Industrial Development Bank of India Ltd.,BANKS,IDBI,EQ,INE008A01015
Fag Bearings India Ltd.,BEARINGS,FAGBEARING,EQ,INE513A01014
NRB Bearings Ltd.,BEARINGS,NRBBEARING,EQ,INE349A01013
SKF India Ltd.,BEARINGS,SKFINDIA,EQ,INE640A01023
Mcdowell & Company Ltd.,BREW/DISTILLERIES,MCDOWELL-N,EQ,INE854D01016
Radico Khaitan Ltd,BREW/DISTILLERIES,RADICO,EQ,INE944F01028
Aksh Optifibre Ltd.,CABLES - TELECOM,AKSHOPTFBR,EQ,INE523B01011
Birla Ericsson Optical Ltd.,CABLES - TELECOM,BIRLAERIC,EQ,INE800A01015
Sterlite Optical Technologies Ltd.,CABLES - TELECOM,STROPTICAL,EQ,INE089C01011
Vindhya Telelinks Ltd.,CABLES - TELECOM,VINDHYATEL,EQ,INE707A01012
Bharat Forge Ltd.,CASTINGS/FORGINGS,BHARATFORG,EQ,INE465A01025
Electrosteel Castings Ltd.,CASTINGS/FORGINGS,ELECTCAST,EQ,INE086A01011
ACC Ltd.,CEMENT AND CEMENT PRODUCTS,ACC,EQ,INE012A01025
Birla Corporation Ltd.,CEMENT AND CEMENT PRODUCTS,BIRLAJUTE,EQ,INE340A01012
Dalmia Cement (Bharat) Ltd.,CEMENT AND CEMENT PRODUCTS,DALMIACEM,EQ,INE495A01022
Everest Industries Ltd.,CEMENT AND CEMENT PRODUCTS,EVERESTIND,EQ,INE295A01018
Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,GRASIM,EQ,INE047A01013
