Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT AND CEMENT PRODUCTS,ACC,EQ,INE012A01025
Adani Enterprises Ltd.,TRADING,ADANIENT,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,SHIPPING,ADANIPORTS,EQ,INE742F01042
Aditya Birla Nuvo Ltd.,DIVERSIFIED,ABIRLANUVO,EQ,INE069A01017
Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,APOLLOHOSP,EQ,INE437A01024
Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,PAINTS,ASIANPAINT,EQ,INE021A01018
Axis Bank Ltd.,BANKS,AXISBANK,EQ,INE238A01026
Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Holdings & Investment Ltd.,FINANCE,BAJAJHLDNG,EQ,INE118A01012
Bank of Baroda,BANKS,BANKBARODA,EQ,INE028A01013
Bank of India,BANKS,BANKINDIA,EQ,INE084A01016
Bharat Forge Ltd.,CASTINGS/FORGINGS,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,REFINERIES,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,BHARTIARTL,EQ,INE397D01024
Biocon Ltd.,PHARMACEUTICALS,BIOCON,EQ,INE376G01013
Bosch Ltd.,AUTO ANCILLARIES,BOSCHLTD,EQ,INE323A01026
Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,CAIRN,EQ,INE910H01017
Canara Bank,BANKS,CANBK,EQ,INE476A01014
Cipla Ltd.,PHARMACEUTICALS,CIPLA,EQ,INE059A01026
Coal India Ltd.,MINING,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,PERSONAL CARE,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,CONCOR,EQ,INE111A01017
Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,CROMPGREAV,EQ,INE067A01029
Cummins India Ltd.,DIESEL ENGINES,CUMMINSIND,EQ,INE298A01020
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dabur India Ltd.,PERSONAL CARE,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,PHARMACEUTICALS,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,DRREDDY,EQ,INE089A01023
Exide Industries Ltd.,AUTO ANCILLARIES,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,BANKS,FEDERALBNK,EQ,INE171A01011
GAIL (India) Ltd.,GAS,GAIL,EQ,INE129A01019
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,GSKCONS,EQ,INE264A01014
Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,GLENMARK,EQ,INE935A01035
Godrej Consumer Products Ltd.,PERSONAL CARE,GODREJCP,EQ,INE102D01028
Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,GRASIM,EQ,INE047A01013
HCL Technologies Ltd.,COMPUTERS - SOFTWARE,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,BANKS,HDFCBANK,EQ,INE040A01026
Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,ALUMINIUM,HINDALCO,EQ,INE038A01020
