symbol,exchange,from_symbol
20MICRONS,NSE,20MICRONS
360ONE,NSE,360ONE
3IINFOLTD,BSE,3IINFOLTD
3MINDIA,NSE,3MINDIA
63MOONS,NSE,FINANTECH
SECURKLOUD,NSE,8KMILES
AADHARHFC,NSE,AADHARHFC
AANJANEYA,NONE,AANJANEYA
AARTIDRUGS,NSE,AARTIDRUGS
AARTIIND,NSE,AARTIIND
AAVAS,NSE,AAVAS
ABAN,BSE,ABAN
ABB,NSE,ABB
ABBOTINDIA,NSE,ABBOTINDIA
ABCAPITAL,NSE,ABCAPITAL
ABDL,NSE,ABDL
ABFRL,NSE,ABFRL
ABGSHIP,NONE,ABGSHIP
ABIRLANUVO,NONE,ABIRLANUVO
ABLBL,NSE,ABLBL
ABREL,NSE,ABREL
ABSLAMC,NSE,ABSLAMC
ACC,NSE,ACC
ACE,NSE,ACE
ACI,NSE,ACI
ACMESOLAR,NSE,ACMESOLAR
ACUTAAS,NSE,ACUTAAS
ADANIENSOL,NSE,ADANIENSOL
ADANIENT,NSE,ADANIENT
ADANIGREEN,NSE,ADANIGREEN
ADANIPORTS,NSE,ADANIPORTS
ADANIPOWER,NSE,ADANIPOWER
IMAGICAA,NSE,ADLABS
ADLABSFILM,NONE,ADLABSFILM
ADOR,NSE,ADOR
ADSL,NSE,ADSL
ADVANTA,NONE,ADVANTA
ADVENZYMES,NSE,ADVENZYMES
AEGISLOG,NSE,AEGISLOG
AEGISVOPAK,NSE,AEGISVOPAK
AETHER,NSE,AETHER
AFCONS,NSE,AFCONS
AFFLE,NSE,AFFLE
AFTEK,NONE,AFTEK
AFTEKINFO,NONE,AFTEKINFO
AGARWALEYE,NSE,AGARWALEYE
BBOX,NSE,BBOX
AGEEGOLD,NONE,AGEEGOLD
AGRODUTCH,NONE,AGRODUTCH
AHLUCONT,NSE,AHLUCONT
AHMEDELEC,NONE,AHMEDELEC
AIAENG,NSE,AIAENG
AIIL,NSE,AIIL
AJANTPHARM,NSE,AJANTPHARM
AKSHOPTFBR,BSE,AKSHOPTFBR
AKUMS,NSE,AKUMS
ALBK,NONE,ALBK
ALEMBICLTD,NSE,ALEMBICLTD
ALFALAVAL,NONE,ALFALAVAL
ALIVUS,NSE,GLS
ALKEM,NSE,ALKEM
ALKYLAMINE,NSE,ALKYLAMINE
ALLCARGO,NSE,ALLCARGO
ALOKINDS,NSE,ALOKINDS
AMBER,NSE,AMBER
AMBUJACEM,NSE,AMBUJACEM
AMTEKAUTO,NONE,AMTEKAUTO
AMTEKINDIA,NONE,AMTEKINDIA
ANANDRATHI,NSE,ANANDRATHI
ANANTRAJ,NSE,ANANTRAJ
ANDHRABANK,NONE,ANDHRABANK
ANDHRSUGAR,NSE,ANDHRSUGAR
ANGELONE,NSE,ANGELONE
ANSALAPI,BSE,ANSALAPI
ANTHEM,NSE,ANTHEM
ANURAS,NSE,ANURAS
APARINDS,NSE,APARINDS
APLAPOLLO,NSE,APLAPOLLO
APLLTD,NSE,APLLTD
APOLLOHOSP,NSE,APOLLOHOSP
APOLLOTYRE,NSE,APOLLOTYRE
APTECHT,BSE,APTECHT
APTUS,NSE,APTUS
ARCHIES,NSE,ARCHIES
ARE&M,NSE,ARE&M
ARSHIYA,BSE,ARSHIYA
ARSSINFRA,NONE,ARSSINFRA
ARVIND,NSE,ARVIND
ARVINDFASN,NSE,ARVINDFASN
ASAHIINDIA,NSE,ASAHIINDIA
ASHIANA,NSE,ASHIANA
ASHIMASYN,NSE,ASHIMASYN
ASHOKA,NSE,ASHOKA
ASHOKLEY,NSE,ASHOKLEY
ASIANELEC,NONE,ASIANELEC
ASIANHOTNR,NSE,ASIANHOTNR
ASIANPAINT,NSE,ASIANPAINT
ASSAMCO,NONE,ASSAMCO
ASTERDM,NSE,ASTERDM
ASTRAZEN,NSE,ASTRAZEN
ASTRAL,NSE,ASTRAL
ATCOM,NONE,ATCOM
SUNDROP,NSE,ATFL
ATGL,NSE,ATGL
ATHERENERG,NSE,ATHERENERG
ATLASCYCLE,NSE,ATLASCYCLE
ATUL,NSE,ATUL
ATVPR,BSE,ATVPR
AUBANK,NSE,AUBANK
AUROPHARMA,NSE,AUROPHARMA
AUTOAXLES,NSE,AUTOAXLES
AUTOIND,NSE,AUTOIND
AVANTIFEED,NSE,AVANTIFEED
SANOFI,NSE,SANOFI
AWL,NSE,AWL
AXISBANK,NSE,AXISBANK
AZAD,NSE,AZAD
AZTEC,BSE,AZTEC
AZTECSOFT,NONE,AZTECSOFT
BAGMANE,BSE,BAGMANE
BAJAJ-AUTO,NSE,BAJAJ-AUTO
BAJAJCON,NSE,BAJAJCORP
BAJAJELEC,NSE,BAJAJELEC
BAJAJFINSV,NSE,BAJAJFINSV
BAJAJHFL,NSE,BAJAJHFL
BAJAJHIND,NSE,BAJAJHIND
BAJAJHLDNG,NSE,BAJAJHLDNG
BAJFINANCE,NSE,BAJFINANCE
BALAJITELE,NSE,BALAJITELE
BALAMINES,NSE,BALAMINES
BALKRISIND,NSE,BALKRISIND
BALLARPUR,NONE,BALLARPUR
BALMLAWRIE,NSE,BALMLAWRIE
BALRAMCHIN,NSE,BALRAMCHIN
BANARISUG,NSE,BANARISUG
BANCOINDIA,NSE,BANCOINDIA
BANDHANBNK,NSE,BANDHANBNK
BANKBARODA,NSE,BANKBARODA
BANKINDIA,NSE,BANKINDIA
BANKPUNJAB,NONE,BANKPUNJAB
BANKRAJAS,NONE,BANKRAJAS
BARODARY,BSE,BARODARY
BASF,NSE,BASF
BATAINDIA,NSE,BATAINDIA
BAYERCROP,NSE,BAYERCROP
BBL,NSE,BBL
BBTC,NSE,BBTC
BCG,NSE,BCG
BDL,NSE,BDL
BEL,NSE,BEL
BELRISE,NSE,BELRISE
BEML,NSE,BEML
BEPL,NSE,BEPL
BERGEPAINT,NSE,BERGEPAINT
BFUTILITIE,NSE,BFUTILITIE
BGFL,NONE,BGFL
BGRENERGY,BSE,BGRENERGY
BHARATCOAL,NSE,BHARATCOAL
BHARATFIN,NONE,BHARATFIN
BHARATFORG,NSE,BHARATFORG
BHARATRAS,NSE,BHARATRAS
BHARTIARTL,NSE,BHARTIARTL
BHARTIHEXA,NSE,BHARTIHEXA
BHEL,NSE,BHEL
BHUSANSTL,NONE,BHUSANSTL
BHUSANSTL|TATASTLBSL,NONE,BHUSANSTL|TATASTLBSL
BIKAJI,NSE,BIKAJI
BINANICEM,NONE,BINANICEM
BINANIIND|BILVYAPAR,NONE,BINANIIND|BILVYAPAR
OSWALGREEN,NSE,BINDALAGRO
BIOCON,NSE,BIOCON
BIRET,BSE,BIRET
BIRLACORPN,NSE,BIRLACORPN
BIRLACABLE,NSE,BIRLAERIC
BIRLAPOWER,NONE,BIRLAPOWER
BLISSGVS,BSE,BLISSGVS
BLKASHYAP,NSE,BLKASHYAP
BLOWPLAST,NONE,BLOWPLAST
BLS,NSE,BLS
BLUEDART,NSE,BLUEDART
BLUEJET,NSE,BLUEJET
BLUESTARCO,NSE,BLUESTARCO
BLUESTINFO,NONE,BLUESTINFO
BOMDYEING,NSE,BOMDYEING
BONGAIREFN,NONE,BONGAIREFN
BORORENEW,NSE,BORORENEW
BOSCHCHASY,NONE,BOSCHCHASY
BOSCHLTD,NSE,BOSCHLTD
BPCL,NSE,BPCL
BPL,NSE,BPL
BPLENGG,NONE,BPLENGG
BRFL,NONE,BRFL
BRIGADE,NSE,BRIGADE
BRITANNIA,NSE,BRITANNIA
BSE,NSE,BSE
BSL,NSE,BSL
BSOFT,NSE,BSOFT
CAIRN,NONE,CAIRN
CAMLINFINE,NSE,CAMLINFINE
CAMPUS,NSE,CAMPUS
CAMS,NSE,CAMS
CANBK,NSE,CANBK
CANFINHOME,NSE,CANFINHOME
CANHLIFE,NSE,CANHLIFE
CAPF,NONE,CAPF
CAPLIPOINT,NSE,CAPLIPOINT
CAPRIHANS,BSE,CAPRIHANS
CARBORUNIV,NSE,CARBORUNIV
CARERATING,NSE,CARERATING
CAROLINFO,NONE,CAROLINFO
CARTRADE,NSE,CARTRADE
CASTEXTECH,NONE,CASTEXTECH
CASTROL,NONE,CASTROL
CASTROLIND,NSE,CASTROLIND
CCL,NSE,CCL
