event_date,scrip_name,action
2005-09-26,Aftek Ltd.,out
2005-09-26,Flextronics Software Systems Ltd.,out
2005-09-26,Gateway Distriparks Ltd.,in
2005-09-26,Gokaldas Exports Ltd.,in
2005-09-26,Gujarat Fluorochemicals Ltd.,in
2005-09-26,IVRCL Ltd.,in
2005-09-26,JSW ISPAT Steel Ltd.,out
2005-09-26,Jaiprakash Power Ventures Ltd.,in
2005-09-26,Jet Airways (India) Ltd.,in
2005-09-26,NCC Ltd.,in
2005-09-26,NIIT Technologies Ltd.,out
2005-09-26,Patel Engineering Ltd.,in
2005-09-26,Prism Cement Ltd.,out
2005-09-26,SRF Ltd.,in
2005-09-26,Shoppers Stop Ltd.,in
2005-09-26,Tata Infotech Ltd.-Merged,out
2005-09-26,Thomas Cook (India) Ltd.,out
2005-09-26,Trident Ltd.,out
2005-09-26,Unichem Laboratories Ltd.,out
2005-09-26,iGate Global Solutions Ltd.,out
2006-03-02,63 Moons Technologies Ltd.,in
2006-03-02,Alembic Ltd.,out
2006-03-02,Bhushan Steel Ltd.,out
2006-03-02,CMC Ltd.,out
2006-03-02,Carborundum Universal Ltd.,in
2006-03-02,Eicher Motors Ltd.,out
2006-03-02,Essar Steel Ltd.,in
2006-03-02,Fresenius Kabi Oncology Ltd.,out
2006-03-02,GTL Ltd.,out
2006-03-02,Geodesic Ltd.,in
2006-03-02,Godrej Industries Ltd.,in
2006-03-02,HT Media Ltd.,in
2006-03-02,Hikal Ltd.,out
2006-03-02,IDFC Ltd.,in
2006-03-02,IFCI Ltd.,out
2006-03-02,J.B. Chemicals & Pharmaceuticals Ltd.,out
2006-03-02,JSW Steel Ltd.,in
2006-03-02,Karur Vysya Bank Ltd.,out
2006-03-02,MPS Ltd.,out
2006-03-02,Merck Ltd.,out
2006-03-02,PTC India Ltd.,out
2006-03-02,Radico Khaitan Ltd,in
2006-03-02,Rolta India Ltd.,in
2006-03-02,Shree Renuka Sugars Ltd.,in
2006-03-02,Sintex Industries Ltd.,in
2006-03-02,Strides Shasun Ltd.,out
2006-03-02,Suzlon Energy Ltd.,in
2006-03-02,Videocon Industries Ltd.,in
2006-03-02,Welspun India Ltd.,out
2006-03-02,Yes Bank Ltd.,in
2006-06-27,Punj Lloyd Ltd.,in
2006-06-27,Shipping Corporation of India Ltd.,out
2006-06-27,Tata Chemicals Ltd.,out
2006-06-27,Unitech Ltd.,in
2006-09-01,Ansal Properties & Infrastructure Ltd.,in
2006-09-01,Dena Bank,out
2006-09-01,FDC Ltd.,out
2006-09-01,Fertilisers and Chemicals Travancore Ltd.,out
2006-09-01,Great Eastern Shipping Co. Ltd.,out
2006-09-01,Gujarat Industries Power Co. Ltd.,out
2006-09-01,Gujarat NRE Coke Ltd.,out
2006-09-01,Gujarat State Petronet Ltd.,in
2006-09-01,Hinduja Ventures Ltd.,out
2006-09-01,Indiabulls Financial Services Ltd.,out
2006-09-01,Indo Rama Synthetics Ltd.,out
2006-09-01,Ipca Laboratories Ltd.,out
2006-09-01,Kalpataru Power Transmission Ltd.,in
2006-09-01,Kirloskar Brothers Ltd.,in
2006-09-01,Kochi Refineries Ltd.,out
2006-09-01,Mahindra & Mahindra Financial Services Ltd.,in
2006-09-01,Mahindra Lifespace Developers Ltd.,in
2006-09-01,Micro Inks Ltd.,out
2006-09-01,Peninsula Land Ltd.,in
2006-09-01,Reliance Communications Ltd.,in
2006-09-01,Reliance Natural Resources Ltd.,in
2006-09-01,Reliance Petroleum Ltd.,in
2006-09-01,Shipping Corporation of India Ltd.,in
2006-09-01,Sun TV Network Ltd.,in
2006-09-01,Tata Chemicals Ltd.,in
2006-09-01,Torrent Power AEC Ltd.,out
2006-09-01,Triveni Engineering & Industries Ltd.,in
2006-09-01,United Spirits Ltd.,out
2007-04-04,AIA Engineering Ltd.,in
2007-04-04,Alok Industries Ltd.,out
2007-04-04,Anant Raj Ltd.,in
2007-04-04,Arvind Ltd.,out
2007-04-04,Bongaigaon Refinery & Petrochemicals Ltd.,out
2007-04-04,Finolex Industries Ltd.,out
2007-04-04,GMR Infrastructure Ltd.,in
2007-04-04,GOL Offshore Ltd.,in
2007-04-04,Gokaldas Exports Ltd.,out
2007-04-04,Gujarat Alkalies & Chemicals Ltd.,out
2007-04-04,Gujarat Mineral Development Corporation Ltd.,out
2007-04-04,IBP Co. Ltd.,out
2007-04-04,Ingersoll Rand (India) Ltd.,out
2007-04-04,JM Financial Ltd.,in
2007-04-04,Jain Irrigation Systems Ltd.,in
2007-04-04,Kesoram Industries Ltd.,in
2007-04-04,Lanco Infratech Ltd.,in
2007-04-04,Parsvnath Developer Ltd.,in
2007-04-04,Rico Auto Industries Ltd.,out
2007-04-04,Shree Precoated Steels Ltd.,in
2007-04-04,Shree Renuka Sugars Ltd.,out
2007-04-04,Sobha Ltd.,in
2007-04-04,Sundaram Finance Ltd.,out
2007-04-04,Tech Mahindra Ltd.,in
2007-04-04,Torrent Power Ltd.,in
2007-04-04,Trent Ltd.,out
2007-04-04,United Spirits Ltd.,in
2007-04-04,Wyeth Ltd.,out
2007-09-24,AstraZenca Pharma India Ltd.,out
2007-09-24,BF Utilities Ltd.,in
2007-09-24,Ballarpur Industries Ltd.,out
2007-09-24,Blue Dart Express Ltd.,out
2007-09-24,Cairn India Ltd.,in
2007-09-24,Colgate Palmolive (India) Ltd.,out
2007-09-24,DCM Shriram Ltd.,out
2007-09-24,Dish TV India Ltd.,in
2007-09-24,E.I.D. Parry (India) Ltd.,out
2007-09-24,Educomp Solutions Ltd.,in
2007-09-24,Essar Steel Ltd.,out
2007-09-24,Essel Propack Ltd.,out
2007-09-24,Firstsource Solutions Ltd.,in
2007-09-24,Great Eastern Shipping Co. Ltd.,in
2007-09-24,Himatsingka Seide Ltd.,out
2007-09-24,Hindustan Zinc Ltd.,in
2007-09-24,Hubtown Ltd.,in
2007-09-24,IFCI Ltd.,in
2007-09-24,Idea Cellular Ltd.,in
2007-09-24,Indiabulls Real Estate Ltd.,in
2007-09-24,Indian Bank,in
2007-09-24,MindTree Ltd.,in
2007-09-24,Monsanto India Ltd.,out
2007-09-24,Piramal Enterprises Ltd.,out
2007-09-24,Power Finance Corporation Ltd.,in
2007-09-24,Praj Industries Ltd.,in
2007-09-24,SRF Ltd.,out
2007-09-24,Sundram Fasteners Ltd.,out
2007-09-24,Television Eighteen India Ltd.,in
2007-09-24,Triveni Engineering & Industries Ltd.,out
2007-09-24,Tube Investments of India Ltd.-Old,out
